id,duration,"cnd(1=Riot,2=Msscr.,3=Evnt)",violence.b,violence.p,violence.w,harm.b,harm.p,harm.w,blame.b,blame.p,blame.w,check1,caused.b,caused.p,caused.w,intention.b,intention.p,intention.w,punish.b,punish.p,punish.w,check2,permissible.b,permiss.p,permiss.w,allow-commit.b,allow-commit.p,allow-commit.w,knew.b,knew.p,knew.w,should.b,should.p,should.w,could.b,could.p,could.w,reparation,priorknowledge,allow,gender,age
31,466,1,4,4,5,3,4,5,5,5,4,1,4,3,5,5,4,5,4,5,5,0,4,5,3,5,3,5,4,4,4,4,3,6,2,6,4,10000,2,1,2,20
23,488,3,5,2,6,5,3,6,3,5,5,1,5,4,5,4,5,6,4,7,6,0,4,6,5,5,6,7,5,5,4,7,7,7,7,7,7,10000,2,1,1,18
42,540,1,2,7,6,2,6,6,2,7,6,0,1,5,6,3,4,6,1,7,5,0,2,6,6,4,1,7,7,3,3,5,7,5,2,7,7,10000,1,1,1,19
83,581,3,2,6,6,2,5,6,3,7,6,0,4,5,6,4,5,6,3,6,5,0,2,6,6,4,7,6,4,5,5,3,6,3,5,7,5,10000,2,1,1,33
169,678,1,3,5,4,7,2,2,2,5,5,1,3,5,5,3,4,6,4,6,5,0,5,6,6,3,6,7,4,6,5,2,7,5,3,7,7,10000,2,1,1,18
103,738,3,4,4,4,5,5,4,4,4,4,1,5,5,5,5,5,5,3,3,3,0,5,5,5,5,5,5,5,4,4,5,6,6,5,6,5,10000,2,1,2,19
45,801,1,4,1,4,4,3,5,5,3,5,0,3,3,5,6,4,3,3,1,6,0,4,4,7,5,3,3,5,1,6,7,7,7,2,5,4,10000,2,1,1,19
102,818,1,1,2,7,7,4,4,1,3,7,0,1,2,7,1,1,1,1,2,7,0,1,4,7,4,4,3,4,4,4,7,7,7,1,7,4,10000,1,1,2,22
86,648,3,5,5,2,7,3,4,7,3,1,1,5,4,6,4,5,6,6,2,3,0,3,2,5,2,3,1,4,2,2,3,7,3,3,7,4,8000,1,1,1,19
136,648,3,4,4,6,7,3,4,4,5,7,0,5,4,6,4,4,7,4,4,6,0,3,5,7,5,2,6,4,3,5,5,7,5,5,5,5,5000,1,1,2,19
85,968,2,7,7,7,7,4,1,1,5,7,0,1,5,7,1,3,7,2,6,6,0,1,6,7,5,1,7,7,7,7,4,7,7,4,7,7,5000,1,1,2,20
98,982,2,3,5,7,7,4,2,2,5,5,1,2,4,7,1,5,7,3,5,7,0,3,6,7,4,7,7,7,7,7,4,7,4,1,6,4,5000,1,1,2,19
65,1226,3,4,4,4,4,4,4,4,4,4,0,4,4,4,4,4,4,4,4,4,0,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,2000,1,1,,21
172,493,2,5,6,7,5,3,2,6,4,2,0,2,5,5,2,6,4,2,4,4,0,2,6,5,4,6,6,1,5,4,1,7,3,2,7,5,1000,2,1,1,19
39,645,1,4,3,7,7,5,6,7,5,3,1,4,5,7,3,3,7,4,4,7,0,7,4,3,4,1,7,6,4,6,7,7,4,6,7,7,1000,1,1,1,18
11,648,1,6,3,6,7,2,2,7,1,1,1,2,3,5,2,3,6,7,1,1,0,6,4,7,7,1,7,7,7,7,7,7,7,4,7,4,1000,1,1,1,18
130,755,2,4,2,6,7,2,4,4,1,5,1,5,4,7,3,1,5,4,3,6,0,2,4,6,5,1,7,4,7,4,5,7,6,7,7,7,1000,2,1,2,19
156,855,3,1,7,7,7,1,1,1,7,7,1,1,4,7,1,6,7,1,7,7,0,1,6,7,1,7,7,1,4,7,1,7,7,1,7,7,1000,1,1,2,21
47,538,3,2,7,7,7,2,2,1,7,7,1,2,7,7,1,4,6,1,7,7,0,1,6,7,1,7,7,1,1,1,1,7,7,4,7,6,500,1,1,2,19
181,652,2,6,3,6,7,2,3,6,3,6,1,6,3,6,2,2,2,6,3,6,0,5,3,5,7,1,7,4,4,4,4,7,4,7,7,7,1,1,1,2,19
174,498,2,4,5,7,7,3,2,1,4,7,0,2,5,7,1,5,7,1,3,5,0,2,5,7,2,6,7,4,4,4,4,7,4,2,6,6,0,1,1,2,19
132,505,1,5,1,7,7,1,4,6,3,3,0,5,1,7,3,1,7,3,2,7,0,3,5,7,5,1,7,3,4,3,2,7,2,2,7,6,0,1,1,2,19
160,523,1,4,4,4,7,1,4,4,4,4,0,4,4,4,4,4,4,4,4,4,0,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,0,1,1,2,19
87,526,1,5,6,5,5,5,5,4,4,4,1,5,5,5,5,5,5,5,5,5,0,5,5,5,4,4,4,4,4,4,4,4,4,4,4,4,0,1,1,2,19
81,533,2,3,7,7,7,3,3,4,7,7,1,3,5,6,2,6,6,1,7,7,0,2,5,5,4,6,6,3,4,4,3,7,6,2,7,7,0,1,1,1,19
77,559,2,6,4,6,5,4,6,5,4,6,0,5,4,6,5,4,6,6,3,7,0,5,4,6,5,4,6,4,4,5,7,7,7,7,7,7,0,2,1,2,20
101,624,2,4,4,6,6,4,5,7,3,3,1,6,4,6,5,2,7,4,2,6,0,3,2,5,6,4,6,6,2,6,7,7,7,6,4,6,0,1,1,2,19
92,630,1,3,5,7,7,2,2,3,6,5,1,4,2,6,2,3,6,2,4,6,0,2,4,6,5,1,7,4,4,5,7,7,7,4,7,7,0,1,1,2,22
69,657,3,2,3,7,7,2,2,1,6,7,0,1,2,7,1,1,7,1,2,7,0,1,3,7,4,5,7,1,2,7,1,7,7,1,4,7,0,1,1,2,19
70,772,1,1,7,4,1,7,1,1,1,1,1,4,7,1,4,7,4,4,1,1,0,4,7,7,4,7,4,1,7,4,4,7,4,4,7,4,0,2,1,1,19
163,1172,2,4,5,4,3,4,4,3,4,5,0,3,4,5,4,3,4,3,4,5,0,5,5,5,3,4,5,3,3,3,5,5,5,5,5,5,0,2,1,2,19
8,1983,1,1,1,7,7,1,1,1,1,7,1,1,1,7,1,1,7,1,1,1,0,1,4,7,1,4,7,1,1,1,1,7,7,1,7,7,0,1,1,2,22
142,506,3,4,6,6,7,6,4,3,5,6,1,4,5,6,3,5,6,3,5,6,0,4,5,7,4,6,7,4,4,6,7,7,7,4,7,5,,1,1,1,20
50,769,3,5,1,5,4,2,6,4,6,4,1,3,4,6,5,5,5,4,7,4,0,7,7,7,7,7,7,2,1,5,7,7,7,4,7,7,,1,1,2,19
